Metric,syn mos plcc,syn mos srcc,syn mos ktcc,tnt mos plcc,tnt mos srcc,tnt mos ktcc,all mos plcc,all mos srcc,all mos ktcc,syn dmos plcc,syn dmos srcc,syn dmos ktcc,tnt dmos plcc,tnt dmos srcc,tnt dmos ktcc,all dmos plcc,all dmos srcc,all dmos ktcc
FVVHD,0.668345330377726,0.6408695652173912,0.49275362318840576,0.19416845630840562,0.25754238024605136,0.1924703040138163,0.4638002671754252,0.5400711050378203,0.40000003933117917,0.6463719543433604,0.6565217391304347,0.5072463768115942,0.3745795029176563,0.38116272276415597,0.3096261412396175,0.3993134422407226,0.49947078477970075,0.3662971535338736
Contrique_score,0.6375402645073502,0.3904347826086956,0.28985507246376807,0.915701476490532,0.9088235294117648,0.7666666666666667,0.6950713605671535,0.6309161962657404,0.47695035460992913,0.16602699500102575,0.1252173913043478,0.08695652173913043,0.9503933449622874,0.95,0.8166666666666667,0.3788041184084396,0.41793313069908816,0.30496453900709225
WaDiQaM_score,0.8482429186044009,0.9017391304347826,0.7536231884057971,0.8328178232794616,0.8558823529411764,0.6666666666666667,0.5438823211123147,0.6902952670429874,0.5390070921985817,0.4499438507201735,0.7347826086956522,0.5507246376811594,0.9118759542161294,0.888235294117647,0.75,0.37706092212978815,0.5693660442900564,0.423758865248227
SSIM,0.635617145536916,0.6408695652173912,0.4710144927536232,0.15538035453721577,0.22352941176470587,0.15,0.3475809856854748,0.5479808944854537,0.3918439716312057,0.5990109272212774,0.6426086956521738,0.48550724637681164,0.36158368794864665,0.3382352941176471,0.26666666666666666,0.2764962078461982,0.48816760746851934,0.3546099290780142
GMSD,0.7604580014427857,0.7843478260869564,0.6014492753623188,0.29341768450120703,0.4147058823529412,0.3,0.5536589377936494,0.6191923577941815,0.45744680851063835,0.7648470556266969,0.8104347826086956,0.6594202898550725,0.4694897963223976,0.5323529411764706,0.45,0.4908841546792758,0.5616587060356057,0.4202127659574469
MS-SSIM_Score,0.6139407908093034,0.5721739130434782,0.42028985507246375,0.1325368416250341,0.2529411764705882,0.15,0.3521891184136323,0.5302865827181936,0.35992907801418444,0.5472152494204603,0.548695652173913,0.42028985507246375,0.34316198480196025,0.3558823529411765,0.26666666666666666,0.2666545164650704,0.45223621363438987,0.3085106382978724
PSNR_Score,0.5523913470270314,0.4913043478260869,0.35507246376811596,0.06935674433411049,0.1764705882352941,0.09999999999999999,0.3859110903534806,0.48339122883195834,0.33687943262411346,0.40790563382397066,0.3652173913043478,0.2681159420289855,0.22653917386137173,0.25588235294117645,0.15,0.25852771095158344,0.37386018237082064,0.2393617021276596
LPIPS_Score,0.6237182222272254,0.6052173913043478,0.4420289855072464,0.700175678269899,0.7088235294117646,0.5166666666666667,0.46990800487903484,0.5788102475032566,0.40780141843971635,0.3695105388006444,0.4495652173913043,0.32608695652173914,0.8005129261536503,0.7529411764705882,0.5333333333333333,0.353597305048008,0.47698653929656964,0.3138297872340426
DISTS,0.8521301781339227,0.7669565217391304,0.5869565217391304,0.8424347878535436,0.8705882352941177,0.7,0.7896668974942782,0.76769431176726,0.5638297872340426,0.6700284181107661,0.7269565217391305,0.5579710144927535,0.932973371645913,0.9235294117647058,0.8166666666666667,0.7008956232806731,0.7088580112896221,0.5265957446808511
LPIPS_Score_vgg,0.39528689097815584,0.32260869565217387,0.21739130434782608,0.5998991696425526,0.6323529411764706,0.43333333333333335,0.3952493931883114,0.4587494572297004,0.31737588652482274,0.19203897967207326,0.23217391304347823,0.17391304347826086,0.7364998365983348,0.7176470588235294,0.5166666666666667,0.28278871920522336,0.37027789839339986,0.24822695035460995
WaDiQa_score,0.8482429186044007,0.9017391304347826,0.7536231884057971,0.8328178232794616,0.8558823529411764,0.6666666666666667,0.5438823211123148,0.6902952670429874,0.5390070921985817,0.4499438507201735,0.7347826086956522,0.5507246376811594,0.9118759542161294,0.888235294117647,0.75,0.37706092212978826,0.5693660442900564,0.423758865248227
CompressVQA,0.8279942456821615,0.8017391304347825,0.6304347826086957,0.5755581679942944,0.6382352941176471,0.4666666666666666,0.688152831404594,0.7033217542336082,0.5124113475177305,0.6837289614552772,0.7443478260869565,0.5579710144927535,0.7238769519171973,0.7264705882352941,0.5499999999999999,0.6025819838930375,0.6455709943551888,0.46453900709219864
